# Probabilidades en los detectores
# Columnas:
# paso  PI  PD
# 
0.000000000000000000e+00 1.337500164223723864e-01 9.741198150793932233e-36
1.000000000000000000e+00 1.318018502172526030e-01 1.092785171235816249e-35
2.000000000000000000e+00 1.298733435218441534e-01 1.225797427571588283e-35
3.000000000000000000e+00 1.279644551811774389e-01 1.374877872239724125e-35
4.000000000000000000e+00 1.260751412462273735e-01 1.541952695547319187e-35
5.000000000000000000e+00 1.242053550132028589e-01 1.729177187429710289e-35
6.000000000000000000e+00 1.223550470633359699e-01 1.938962769278541397e-35
7.000000000000000000e+00 1.205241653031484672e-01 2.174007189373289942e-35
8.000000000000000000e+00 1.187126550051755131e-01 2.437328249089155314e-35
9.000000000000000000e+00 1.169204588491239427e-01 2.732301469307792889e-35
1.000000000000000000e+01 1.151475169634442325e-01 3.062702153531339011e-35
1.100000000000000000e+01 1.133937669672950843e-01 3.432752356639602957e-35
1.200000000000000000e+01 1.116591440128786028e-01 3.847173326641154188e-35
1.300000000000000000e+01 1.099435808281251925e-01 4.311244051825513397e-35
1.400000000000000000e+01 1.082470077597069008e-01 4.830866618174893987e-35
1.500000000000000000e+01 1.065693528163581816e-01 5.412639162573123691e-35
1.600000000000000000e+01 1.049105417124823469e-01 6.063937297182551934e-35
1.700000000000000000e+01 1.032704979120235428e-01 6.793004980376225250e-35
1.800000000000000000e+01 1.016491426725829317e-01 7.609055920956469268e-35
1.900000000000000000e+01 1.000463950897581139e-01 8.522386726333604886e-35
2.000000000000000000e+01 9.846217214168576093e-02 9.544503143292556141e-35
2.100000000000000000e+01 9.689638873376610340e-02 1.068826089351053283e-34
2.200000000000000000e+01 9.534895774354985865e-02 1.196802277684936154e-34
2.300000000000000000e+01 9.381979006576625368e-02 1.339983390556929905e-34
2.400000000000000000e+01 9.230879465747340862e-02 1.500161714414885384e-34
2.500000000000000000e+01 9.081587858330994467e-02 1.679339106473755853e-34
2.600000000000000000e+01 8.934094706082894299e-02 1.879751299007093028e-34
2.700000000000000000e+01 8.788390350589452005e-02 2.103894998688537224e-34
2.800000000000000000e+01 8.644464957812154904e-02 2.354558099676096089e-34
2.900000000000000000e+01 8.502308522633976462e-02 2.634853365152315654e-34
3.000000000000000000e+01 8.361910873406304401e-02 2.948255972088771595e-34
3.100000000000000000e+01 8.223261676494554584e-02 3.298645358541302048e-34
3.200000000000000000e+01 8.086350440820597174e-02 3.690351862300210034e-34
3.300000000000000000e+01 7.951166522400200665e-02 4.128208694769039760e-34
3.400000000000000000e+01 7.817699128873722980e-02 4.617609855138621493e-34
3.500000000000000000e+01 7.685937324028212225e-02 5.164574657939321504e-34
3.600000000000000000e+01 7.555870032309262851e-02 5.775819622647587005e-34
3.700000000000000000e+01 7.427486043320850884e-02 6.458838558029245282e-34
3.800000000000000000e+01 7.300774016311510628e-02 7.221991767249239728e-34
3.900000000000000000e+01 7.175722484645158383e-02 8.074605403494674299e-34
4.000000000000000000e+01 7.052319860254953332e-02 9.027082121086479620e-34
4.100000000000000000e+01 6.930554438078607993e-02 1.009102429506049750e-33
4.200000000000000000e+01 6.810414400473567553e-02 1.127937122438467932e-33
4.300000000000000000e+01 6.691887821610499609e-02 1.260655189190223103e-33
4.400000000000000000e+01 6.574962671843642692e-02 1.408865502947576270e-33
4.500000000000000000e+01 6.459626822056482864e-02 1.574361843156825743e-33
4.600000000000000000e+01 6.345868047981356730e-02 1.759143967675305195e-33
4.700000000000000000e+01 6.233674034491525073e-02 1.965441065674732334e-33
4.800000000000000000e+01 6.123032379864398050e-02 2.195737857911701357e-33
4.900000000000000000e+01 6.013930600014504024e-02 2.452803640569093743e-33
5.000000000000000000e+01 5.906356132694941946e-02 2.739724601714868031e-33
5.100000000000000000e+01 5.800296341665994032e-02 3.059939775875239063e-33
5.200000000000000000e+01 5.695738520829695534e-02 3.417281042670433718e-33
