# Valores esperados de observables
# Columnas:
# paso  <x>  <p>  <Ec>  <V>  <Etotal>
# 
0.000000000000000000e+00 1.250000011242757125e+02 9.997440315377478237e-01 2.000000000000000444e+00 2.764205712491184155e-04 2.000276420571249769e+00
5.000000000000000000e+00 1.260026505911842776e+02 9.997397260700183752e-01 1.999951758740853291e+00 3.246618303889946679e-04 2.000276420571242220e+00
1.000000000000000000e+01 1.270052917484909329e+02 9.997278238001948703e-01 1.999899067778769579e+00 3.773527924666968797e-04 2.000276420571236446e+00
1.500000000000000000e+01 1.280079185356653397e+02 9.997116555579961261e-01 1.999837839281795704e+00 4.385812894338405633e-04 2.000276420571229341e+00
2.000000000000000000e+01 1.290105282054245492e+02 9.996940371246785251e-01 1.999761984771847079e+00 5.144357993758830227e-04 2.000276420571223124e+00
2.500000000000000000e+01 1.300131198594820034e+02 9.996757950208186028e-01 1.999671661165417058e+00 6.047594057997893483e-04 2.000276420571216907e+00
3.000000000000000000e+01 1.310156927161827696e+02 9.996564511525832808e-01 1.999570828370359710e+00 7.055922008510919462e-04 2.000276420571210689e+00
3.500000000000000000e+01 1.320182452993319089e+02 9.996352060386543004e-01 1.999459983447042344e+00 8.164371241618327687e-04 2.000276420571204028e+00
4.000000000000000000e+01 1.330207753292091013e+02 9.996112720577107202e-01 1.999334003282342564e+00 9.424172888554841008e-04 2.000276420571198255e+00
4.500000000000000000e+01 1.340232795275518356e+02 9.995834012667683677e-01 1.999185883001532327e+00 1.090537569659225320e-03 2.000276420571191593e+00
5.000000000000000000e+01 1.350257530532695966e+02 9.995498450649927813e-01 1.999012021929577498e+00 1.264398641607983450e-03 2.000276420571185376e+00
5.500000000000000000e+01 1.360281895552752474e+02 9.995095500380843934e-01 1.998813125379403477e+00 1.463295191775736224e-03 2.000276420571179159e+00
6.000000000000000000e+01 1.370305823990200054e+02 9.994629724385276637e-01 1.998589651159122127e+00 1.686769412050704176e-03 2.000276420571172942e+00
6.500000000000000000e+01 1.380329258240140859e+02 9.994111287276830069e-01 1.998338073891750222e+00 1.938346679416375236e-03 2.000276420571166724e+00
7.000000000000000000e+01 1.390352146689843096e+02 9.993540040694579574e-01 1.998052261289372522e+00 2.224159281787747942e-03 2.000276420571160063e+00
7.500000000000000000e+01 1.400374430067982985e+02 9.992901633871497102e-01 1.997726949071770619e+00 2.549471499383160894e-03 2.000276420571153846e+00
8.000000000000000000e+01 1.410396031828583716e+02 9.992178180011608291e-01 1.997358687304838565e+00 2.917733266308608023e-03 2.000276420571147185e+00
8.500000000000000000e+01 1.420416860519441116e+02 9.991358672215218117e-01 1.996943955581933272e+00 3.332464989207387703e-03 2.000276420571140523e+00
9.000000000000000000e+01 1.430436816504960689e+02 9.990436561960956974e-01 1.996477733171406976e+00 3.798687399727614100e-03 2.000276420571134750e+00
9.500000000000000000e+01 1.440455791848223157e+02 9.989400713932385933e-01 1.995954239505402628e+00 4.322181065725015300e-03 2.000276420571127645e+00
1.000000000000000000e+02 1.450473664127213738e+02 9.988233996807113213e-01 1.995367879317544668e+00 4.908541253577172053e-03 2.000276420571121871e+00
1.050000000000000000e+02 1.460490293837537195e+02 9.986920775606139555e-01 1.994712551212215690e+00 5.563869358899439614e-03 2.000276420571115210e+00
1.100000000000000000e+02 1.470505528876248889e+02 9.985451647072345338e-01 1.993980703277385969e+00 6.295717293723458036e-03 2.000276420571109437e+00
1.150000000000000000e+02 1.480519209168651003e+02 9.983819028558249542e-01 1.993164243103309863e+00 7.112177467793575486e-03 2.000276420571103220e+00
1.200000000000000000e+02 1.490531165138540644e+02 9.982010903660925027e-01 1.992256289902345046e+00 8.020130668752649059e-03 2.000276420571097891e+00
1.250000000000000000e+02 1.500541212891956775e+02 9.980011091023925918e-01 1.991250838017756042e+00 9.025582553335246422e-03 2.000276420571091229e+00
1.300000000000000000e+02 1.510549151893940518e+02 9.977802852511222786e-01 1.990140228914297982e+00 1.013619165678721415e-02 2.000276420571085012e+00
1.350000000000000000e+02 1.520554764325158317e+02 9.975367975154937339e-01 1.988913828531439831e+00 1.136259203963892878e-02 2.000276420571078795e+00
1.400000000000000000e+02 1.530557811417060634e+02 9.972682673047067459e-01 1.987559978565957453e+00 1.271644200511488562e-02 2.000276420571072133e+00
1.450000000000000000e+02 1.540558028006740585e+02 9.969719143519562010e-01 1.986068803773376468e+00 1.420761679768973995e-02 2.000276420571066360e+00
1.500000000000000000e+02 1.550555122582653667e+02 9.966453969228534771e-01 1.984432191092913023e+00 1.584422947814740149e-02 2.000276420571060587e+00
1.550000000000000000e+02 1.560548784746120816e+02 9.962872644007787493e-01 1.982641126519631092e+00 1.763529405142249054e-02 2.000276420571053482e+00
1.600000000000000000e+02 1.570538691568268064e+02 9.958962959560806461e-01 1.980684097072859640e+00 1.959232349818789201e-02 2.000276420571047709e+00
1.650000000000000000e+02 1.580524504683422435e+02 9.954705316486307520e-01 1.978548456717780457e+00 2.172796385326081214e-02 2.000276420571041491e+00
1.700000000000000000e+02 1.590505861824491944e+02 9.950072553414047727e-01 1.976222468968025225e+00 2.405395160301020824e-02 2.000276420571035274e+00
1.750000000000000000e+02 1.600482373279539559e+02 9.945038500482271671e-01 1.973695298698847633e+00 2.658112187218143047e-02 2.000276420571029057e+00
1.800000000000000000e+02 1.610453625896113579e+02 9.939582484233666637e-01 1.970955630169153983e+00 2.932079040186938435e-02 2.000276420571023284e+00
1.850000000000000000e+02 1.620419186404707830e+02 9.933683771500969595e-01 1.967991380061630879e+00 3.228504050938658942e-02 2.000276420571017510e+00
1.900000000000000000e+02 1.630378597685459567e+02 9.927315095944568846e-01 1.964790720435234173e+00 3.548570013577716925e-02 2.000276420571011293e+00
1.950000000000000000e+02 1.640331372826661323e+02 9.920445455566999637e-01 1.961342362219631763e+00 3.893405835137377091e-02 2.000276420571005520e+00
2.000000000000000000e+02 1.650276995564286722e+02 9.913048500328116575e-01 1.957634520388315424e+00 4.264190018268386451e-02 2.000276420570999303e+00
2.050000000000000000e+02 1.660214926996201541e+02 9.905105227748436381e-01 1.953654601594799534e+00 4.662181897619339932e-02 2.000276420570993086e+00
2.100000000000000000e+02 1.670144610774659668e+02 9.896598898405805089e-01 1.949390831000630264e+00 5.088558957035684699e-02 2.000276420570987312e+00
2.150000000000000000e+02 1.680065472981533787e+02 9.887510941664888753e-01 1.944833768950043895e+00 5.544265162093715837e-02 2.000276420570981095e+00
2.200000000000000000e+02 1.689976920918495864e+02 9.877822837127698818e-01 1.939975269797904245e+00 6.030115077307093147e-02 2.000276420570975322e+00
2.250000000000000000e+02 1.699878344437991302e+02 9.867518169035635056e-01 1.934806050449882520e+00 6.547037012108695986e-02 2.000276420570969549e+00
2.300000000000000000e+02 1.709769116694282900e+02 9.856579385587852515e-01 1.929315350552618380e+00 7.096107001834568717e-02 2.000276420570964220e+00
2.350000000000000000e+02 1.719648590899462306e+02 9.844984388338239301e-01 1.923493446832629017e+00 7.678297373832874972e-02 2.000276420570957558e+00
2.400000000000000000e+02 1.729516097274610900e+02 9.832710772542041511e-01 1.917333805745628394e+00 8.294261482532395979e-02 2.000276420570952229e+00
2.450000000000000000e+02 1.739370947209253586e+02 9.819744436751104422e-01 1.910832201011247289e+00 8.944421955969918125e-02 2.000276420570946456e+00
2.500000000000000000e+02 1.749212443311153322e+02 9.806081303110627534e-01 1.903984373552878306e+00 9.629204701806247380e-02 2.000276420570940683e+00
